NODE_17_length_162477_cov_436.858153_144	Hamap,Pfam,TIGRFAM,Pfam,Pfam	MF_02019,PF08245,TIGR01143,PF02875,PF01225	IPR005863,IPR013221,IPR004101,IPR000713	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [murF].,Mur ligase middle domain,murF: UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase,Mur ligase family, glutamate ligase domain,Mur ligase family, catalytic domain	GO:0005524,GO:0005737,GO:0047480,GO:0071555,GO:0009058,GO:0016874	KEGG:00300+6.3.2.10,KEGG:00550+6.3.2.10
NODE_17_length_162477_cov_436.858153_145	CDD,Hamap,Pfam,TIGRFAM	cd06852,MF_00038,PF00953,TIGR00445	IPR003524,IPR000715	GT_MraY,Phospho-N-acetylmuramoyl-pentapeptide-transferase [mraY].,Glycosyl transferase family 4,mraY: phospho-N-acetylmuramoyl-pentapeptide-transferase	GO:0008963,GO:0016020,GO:0016021	KEGG:00550+2.7.8.13
NODE_17_length_162477_cov_436.858153_146	TIGRFAM,Pfam,TIGRFAM	TIGR02615,PF01098,TIGR02614	IPR013438,IPR001182,IPR013437	spoVE: stage V sporulation protein E,Cell cycle protein,ftsW: cell division protein FtsW	GO:0016021,GO:0051301,GO:0009252	"NA"
NODE_17_length_162477_cov_436.858153_147	Pfam,Hamap,Pfam,TIGRFAM,CDD	PF03033,MF_00033,PF04101,TIGR01133,cd03785	IPR004276,IPR006009,IPR007235	Glycosyltransferase family 28 N-terminal domain,UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase [murG].,Glycosyltransferase family 28 C-terminal domain,murG: undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase,GT1_MurG	GO:0005975,GO:0016758,GO:0030259,GO:0009252,GO:0050511	KEGG:00052+2.4.1.22,KEGG:00550+2.4.1.227
NODE_17_length_162477_cov_436.858153_148	Pfam	PF00275	IPR001986	EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase)	GO:0016765	"NA"
NODE_17_length_162477_cov_436.858153_17	Pfam	PF00574	IPR023562	Clp protease	"NA"	"NA"
NODE_17_length_162477_cov_436.858153_18	Pfam	PF14035	IPR025619	YlzJ-like protein	"NA"	"NA"
NODE_17_length_162477_cov_436.858153_19	Pfam,Pfam,Pfam	PF13491,PF09397,PF01580	IPR025199,IPR018541,IPR002543	4TM region of DNA translocase FtsK/SpoIIIE,Ftsk gamma domain,FtsK/SpoIIIE family	GO:0000166,GO:0003677,GO:0005524	"NA"
NODE_17_length_162477_cov_436.858153_2	CDD,Pfam	cd00090,PF01022	IPR001845	HTH_ARSR,Bacterial regulatory protein, arsR family	GO:0003700,GO:0006355	"NA"
NODE_17_length_162477_cov_436.858153_20	TIGRFAM,Pfam,Pfam,Pfam,Hamap	TIGR03904,PF08497,PF04055,PF11842,MF_01251	IPR022946,IPR013704,IPR007197,IPR024560	SAM_YgiQ: uncharacterized radical SAM protein YgiQ,Radical SAM N-terminal,Radical SAM superfamily,Domain of unknown function (DUF3362),UPF0313 protein YgiQ [ygiQ].	GO:0003824,GO:0051536	"NA"
NODE_17_length_162477_cov_436.858153_21	CDD,Hamap,Pfam,Pfam	cd01080,MF_01576,PF02882,PF00763	IPR000672,IPR020631,IPR020630	NAD_bind_m-THF_DH_Cyclohyd,Bifunctional protein FolD [folD].,Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain,Tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain	GO:0004488,GO:0055114	KEGG:00670+1.5.1.5+3.5.4.9,KEGG:00720+1.5.1.5+3.5.4.9
NODE_17_length_162477_cov_436.858153_23	Hamap,Pfam,CDD,TIGRFAM,TIGRFAM,Pfam,Pfam	MF_00335,PF00013,cd00077,TIGR03319,TIGR00277,PF01966,PF12072	IPR017705,IPR004088,IPR003607,IPR006675,IPR006674,IPR022711	Ribonuclease Y [rny].,KH domain,HDc,RNase_Y: ribonuclease Y,HDIG: HDIG domain,HD domain,Domain of unknown function (DUF3552)	GO:0003723,GO:0006402,GO:0016020	"NA"
NODE_17_length_162477_cov_436.858153_24	CDD,Pfam,TIGRFAM	cd07382,PF13277,TIGR00282	IPR005235	MPP_DR1281,YmdB-like protein,TIGR00282: metallophosphoesterase, MG_246/BB_0505 family	"NA"	"NA"
NODE_17_length_162477_cov_436.858153_25	Pfam	PF04232	IPR007347	Stage V sporulation protein S (SpoVS)	"NA"	"NA"
NODE_17_length_162477_cov_436.858153_27	Pfam	PF11823	IPR021778	Protein of unknown function (DUF3343)	"NA"	"NA"
NODE_17_length_162477_cov_436.858153_28	Pfam	PF16363	IPR016040	GDP-mannose 4,6 dehydratase	"NA"	"NA"
NODE_17_length_162477_cov_436.858153_29	Pfam,CDD,Pfam	PF13439,cd03801,PF00534	IPR028098,IPR001296	Glycosyltransferase Family 4,GT1_YqgM_like,Glycosyl transferases group 1	"NA"	"NA"
NODE_17_length_162477_cov_436.858153_3	TIGRFAM,Pfam	TIGR00832,PF01758	IPR004706,IPR002657	acr3: arsenical-resistance protein,Sodium Bile acid symporter family	GO:0015103,GO:0015297,GO:0016021,GO:0016020	"NA"
NODE_17_length_162477_cov_436.858153_30	TIGRFAM,Pfam	TIGR02906,PF01636	IPR014255,IPR002575	spore_CotS: spore coat protein, CotS family,Phosphotransferase enzyme family	"NA"	"NA"
NODE_17_length_162477_cov_436.858153_31	TIGRFAM,Pfam	TIGR02906,PF01636	IPR014255,IPR002575	spore_CotS: spore coat protein, CotS family,Phosphotransferase enzyme family	"NA"	"NA"
NODE_17_length_162477_cov_436.858153_32	TIGRFAM	TIGR04354	IPR027598	amphi-Trp: amphi-Trp domain	"NA"	"NA"
NODE_17_length_162477_cov_436.858153_34	Pfam	PF16760	IPR005085	Starch/carbohydrate-binding module (family 53)	GO:2001070	"NA"
NODE_17_length_162477_cov_436.858153_35	Pfam,CDD,CDD,Pfam,Pfam,Pfam	PF00132,cd04181,cd05805,PF02878,PF00483,PF02880	IPR001451,IPR005844,IPR005835,IPR005846	Bacterial transferase hexapeptide (six repeats),NTP_transferase,MPG1_transferase,Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain I,Nucleotidyl transferase,Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain III	GO:0005975,GO:0016868,GO:0009058,GO:0016779	KEGG:00520+5.4.2.10
NODE_17_length_162477_cov_436.858153_38	Pfam	PF05949	IPR010273	Bacterial protein of unknown function (DUF881)	"NA"	"NA"
NODE_17_length_162477_cov_436.858153_39	Pfam	PF05949	IPR010273	Bacterial protein of unknown function (DUF881)	"NA"	"NA"
NODE_17_length_162477_cov_436.858153_4	CDD,Pfam	cd16345,PF01451	IPR023485	LMWP_ArsC,Low molecular weight phosphotyrosine protein phosphatase	"NA"	"NA"
NODE_17_length_162477_cov_436.858153_40	TIGRFAM,CDD,Pfam	TIGR02884,cd10948,PF01522	IPR014235,IPR002509	spore_pdaA: delta-lactam-biosynthetic de-N-acetylase,CE4_BsPdaA_like,Polysaccharide deacetylase	GO:0005975,GO:0016810	"NA"
NODE_17_length_162477_cov_436.858153_41	TIGRFAM,Pfam	TIGR02856,PF07873	IPR022477,IPR022476	spore_yqfC: sporulation protein YqfC,YabP family	"NA"	"NA"
NODE_17_length_162477_cov_436.858153_42	TIGRFAM,Pfam	TIGR02876,PF06898	IPR010690	spore_yqfD: sporulation protein YqfD,Putative stage IV sporulation protein YqfD	"NA"	"NA"
NODE_17_length_162477_cov_436.858153_43	Pfam	PF02562	IPR003714	PhoH-like protein	GO:0005524	"NA"
NODE_17_length_162477_cov_436.858153_44	TIGRFAM,Pfam,Pfam,Pfam,CDD,CDD	TIGR00277,PF07698,PF07697,PF01966,cd06174,cd00077	IPR006675,IPR011621,IPR011624,IPR006674,IPR020846,IPR003607	HDIG: HDIG domain,7TM receptor with intracellular HD hydrolase,7TM-HD extracellular,HD domain,MFS,HDc	"NA"	"NA"
NODE_17_length_162477_cov_436.858153_45	TIGRFAM,Hamap,Pfam	TIGR00043,MF_00009,PF02130	IPR002036	TIGR00043: rRNA maturation RNase YbeY,Endoribonuclease YbeY [ybeY].,Uncharacterized protein family UPF0054	GO:0004222,GO:0006364	"NA"
NODE_17_length_162477_cov_436.858153_46	TIGRFAM,Pfam,CDD	TIGR01354,PF00383,cd01283	IPR006262,IPR002125	cyt_deam_tetra: cytidine deaminase,Cytidine and deoxycytidylate deaminase zinc-binding region,cytidine_deaminase	GO:0004126,GO:0008270,GO:0009972	KEGG:00240+3.5.4.5,KEGG:00983+3.5.4.5
NODE_17_length_162477_cov_436.858153_47	TIGRFAM,TIGRFAM,CDD,Pfam,Pfam,Hamap	TIGR00436,TIGR00231,cd04163,PF07650,PF01926,MF_00367	IPR005662,IPR005225,IPR030388,IPR004044,IPR006073	era: GTP-binding protein Era,small_GTP: small GTP-binding protein domain,Era,KH domain,50S ribosome-binding GTPase,GTPase Era [era].	GO:0003723,GO:0005525,GO:0005622	"NA"
NODE_17_length_162477_cov_436.858153_48	Pfam	PF14006	IPR025617	YqzL-like protein	"NA"	"NA"
NODE_17_length_162477_cov_436.858153_49	Hamap,Pfam,TIGRFAM,Pfam	MF_00201,PF02565,TIGR00613,PF11967	IPR003717,IPR022572	DNA repair protein RecO [recO].,Recombination protein O C terminal,reco: DNA repair protein RecO,Recombination protein O N terminal	GO:0006281,GO:0006310	"NA"
NODE_17_length_162477_cov_436.858153_5	Pfam	PF03773	IPR005524	Predicted permease	"NA"	"NA"
NODE_17_length_162477_cov_436.858153_51	Pfam	PF07238	IPR009875	PilZ domain	GO:0035438	"NA"
NODE_17_length_162477_cov_436.858153_52	Pfam	PF00266	IPR000192	Aminotransferase class-V	"NA"	"NA"
NODE_17_length_162477_cov_436.858153_53	Pfam,Hamap,Pfam,TIGRFAM,CDD,CDD	PF02926,MF_00021,PF02568,TIGR00342,cd11716,cd01712	IPR004114,IPR003720,IPR020536	THUMP domain,tRNA sulfurtransferase [thiI].,Thiamine biosynthesis protein (ThiI),TIGR00342: tRNA sulfurtransferase ThiI,THUMP_ThiI,ThiI	GO:0003723,GO:0005737,GO:0016783,GO:0034227,GO:0004810	"NA"
NODE_17_length_162477_cov_436.858153_54	Pfam,Pfam,Pfam	PF07501,PF04294,PF12229	IPR011098,IPR007391,IPR022029	G5 domain,VanW like protein,Putative peptidoglycan binding domain	"NA"	"NA"
NODE_17_length_162477_cov_436.858153_55	Pfam	PF09986	IPR018708	Uncharacterized protein conserved in bacteria (DUF2225)	"NA"	"NA"
NODE_17_length_162477_cov_436.858153_56	Pfam,CDD,Pfam	PF02769,cd06061,PF00586	IPR010918,IPR016188	AIR synthase related protein, C-terminal domain,PurM-like1,AIR synthase related protein, N-terminal domain	"NA"	"NA"
NODE_17_length_162477_cov_436.858153_58	Pfam,Hamap,CDD	PF00464,MF_00051,cd00378	IPR001085	Serine hydroxymethyltransferase,Serine hydroxymethyltransferase [glyA].,SHMT	GO:0004372,GO:0006545,GO:0035999	KEGG:00260+2.1.2.1,KEGG:00460+2.1.2.1,KEGG:00630+2.1.2.1,KEGG:00670+2.1.2.1,KEGG:00680+2.1.2.1
NODE_17_length_162477_cov_436.858153_59	Pfam	PF04024	IPR007168	PspC domain	"NA"	"NA"
NODE_17_length_162477_cov_436.858153_60	Pfam,Pfam	PF01841,PF13559	IPR002931,IPR025403	Transglutaminase-like superfamily,Domain of unknown function (DUF4129)	"NA"	"NA"
NODE_17_length_162477_cov_436.858153_61	Pfam	PF01882	IPR002881	Protein of unknown function DUF58	"NA"	"NA"
NODE_17_length_162477_cov_436.858153_62	CDD,Pfam	cd00009,PF07726	IPR011703	AAA,ATPase family associated with various cellular activities (AAA)	GO:0005524,GO:0016887	"NA"
NODE_17_length_162477_cov_436.858153_63	CDD,TIGRFAM,Hamap,Pfam,Pfam	cd05292,TIGR01771,MF_00488,PF00056,PF02866	IPR011304,IPR001236,IPR022383	LDH_2,L-LDH-NAD: L-lactate dehydrogenase,L-lactate dehydrogenase [ldh].,lactate/malate dehydrogenase, NAD binding domain,lactate/malate dehydrogenase, alpha/beta C-terminal domain	GO:0004459,GO:0005737,GO:0055114,GO:0016491,GO:0016616	KEGG:00010+1.1.1.27,KEGG:00270+1.1.1.27,KEGG:00620+1.1.1.27,KEGG:00640+1.1.1.27
NODE_17_length_162477_cov_436.858153_64	Pfam,TIGRFAM,TIGRFAM,Pfam,TIGRFAM,Hamap,CDD	PF00994,TIGR00199,TIGR00200,PF02464,TIGR00177,MF_00226_B,cd00885	IPR001453,IPR008136,IPR008135	Probable molybdopterin binding domain,PncC_domain: amidohydrolase, PncC family,cinA_nterm: competence/damage-inducible protein CinA N-terminal domain,Competence-damaged protein,molyb_syn: molybdenum cofactor synthesis domain,Putative competence-damage inducible protein [cinA].,cinA	"NA"	"NA"
NODE_17_length_162477_cov_436.858153_65	Pfam,CDD,Hamap,TIGRFAM	PF03023,cd13123,MF_02078,TIGR01695	IPR004268	MviN-like protein,MATE_MurJ_like,Probable lipid II flippase MurJ [murJ].,murJ_mviN: murein biosynthesis integral membrane protein MurJ	"NA"	"NA"
