NODE_35_length_76221_cov_438.509217_42	CDD,Pfam,CDD	cd02028,PF00485,cd01667	IPR006083	UMPK_like,Phosphoribulokinase / Uridine kinase family,TGS_ThrRS_N	GO:0005524,GO:0008152,GO:0016301	"NA"
NODE_35_length_76221_cov_438.509217_43	Pfam	PF07085	IPR010766	DRTGG domain	"NA"	KEGG:00430+2.3.1.8,KEGG:00620+2.3.1.8,KEGG:00640+2.3.1.8,KEGG:00680+2.3.1.8,KEGG:00720+2.3.1.8
NODE_35_length_76221_cov_438.509217_44	CDD,Pfam	cd00075,PF13581	IPR003594	HATPase_c,Histidine kinase-like ATPase domain	"NA"	"NA"
NODE_35_length_76221_cov_438.509217_45	Pfam,Pfam,Pfam	PF04060,PF02906,PF13237	IPR007202,IPR004108,IPR017896	Putative Fe-S cluster,Iron only hydrogenase large subunit, C-terminal domain,4Fe-4S dicluster domain	GO:0051536	"NA"
NODE_35_length_76221_cov_438.509217_46	Pfam	PF07085	IPR010766	DRTGG domain	"NA"	KEGG:00430+2.3.1.8,KEGG:00620+2.3.1.8,KEGG:00640+2.3.1.8,KEGG:00680+2.3.1.8,KEGG:00720+2.3.1.8
NODE_35_length_76221_cov_438.509217_47	Pfam,CDD,CDD	PF02811,cd07432,cd07432	IPR004013	PHP domain,PHP_HisPPase,PHP_HisPPase	GO:0003824	"NA"
NODE_35_length_76221_cov_438.509217_48	TIGRFAM,Pfam,CDD	TIGR01958,PF01257,cd03064	IPR002023	nuoE_fam: NADH-quinone oxidoreductase, E subunit,Thioredoxin-like [2Fe-2S] ferredoxin,TRX_Fd_NuoE	GO:0016491,GO:0055114	"NA"
NODE_35_length_76221_cov_438.509217_49	CDD,Pfam	cd00075,PF02518	IPR003594	HATPase_c,Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	"NA"	"NA"
NODE_35_length_76221_cov_438.509217_5	Pfam	PF12729	IPR024478	Four helix bundle sensory module for signal transduction	"NA"	"NA"
NODE_35_length_76221_cov_438.509217_50	CDD	cd02980	"NA"	TRX_Fd_family	"NA"	"NA"
NODE_35_length_76221_cov_438.509217_51	Pfam,CDD,Pfam,Pfam,Pfam,Pfam,Pfam,CDD	PF01512,cd02980,PF10531,PF01257,PF10589,PF00037,PF00037,cd10549	IPR011538,IPR019554,IPR019575,IPR017896	Respiratory-chain NADH dehydrogenase 51 Kd subunit,TRX_Fd_family,SLBB domain,Thioredoxin-like [2Fe-2S] ferredoxinDH-ubiquinone oxidoreductase-F iron-sulfur binding region,4Fe-4S binding domain,4Fe-4S binding domain,MtMvhB_like	GO:0051539	"NA"
NODE_35_length_76221_cov_438.509217_52	Pfam,Pfam,TIGRFAM,Pfam,Pfam,Pfam,CDD	PF02906,PF00037,TIGR02512,PF13510,PF02256,PF10588,cd00207	IPR004108,IPR017896,IPR013352,IPR003149,IPR019574,IPR001041	Iron only hydrogenase large subunit, C-terminal domain,4Fe-4S binding domain,FeFe_hydrog_A: [FeFe] hydrogenase, group A,2Fe-2S iron-sulfur cluster binding domain,Iron hydrogenase small subunitDH-ubiquinone oxidoreductase-G iron-sulfur binding region,fer2	GO:0005506,GO:0008901,GO:0051536,GO:0055114,GO:0016491,GO:0009055	"NA"
NODE_35_length_76221_cov_438.509217_53	Pfam	PF01613	IPR002563	Flavin reductase like domain	GO:0010181	"NA"
NODE_35_length_76221_cov_438.509217_54	Pfam,CDD,Pfam	PF00390,cd05311,PF03949	IPR012301,IPR012302	Malic enzyme, N-terminal domainD_bind_2_malic_enz,Malic enzyme, NAD binding domain	GO:0004471,GO:0055114,GO:0051287	"NA"
NODE_35_length_76221_cov_438.509217_55	Pfam,CDD,Hamap,Pfam,TIGRFAM	PF00056,cd05292,MF_00488,PF02866,TIGR01771	IPR001236,IPR011304,IPR022383	lactate/malate dehydrogenase, NAD binding domain,LDH_2,L-lactate dehydrogenase [ldh].,lactate/malate dehydrogenase, alpha/beta C-terminal domain,L-LDH-NAD: L-lactate dehydrogenase	GO:0016491,GO:0055114,GO:0004459,GO:0005737,GO:0016616	KEGG:00010+1.1.1.27,KEGG:00270+1.1.1.27,KEGG:00620+1.1.1.27,KEGG:00640+1.1.1.27
NODE_35_length_76221_cov_438.509217_57	Hamap,Pfam	MF_01978,PF00365	IPR011404,IPR000023	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase [pfp].,Phosphofructokinase	GO:0006096,GO:0047334,GO:0003872	KEGG:00010+2.7.1.11,KEGG:00030+2.7.1.11,KEGG:00051+2.7.1.11,KEGG:00052+2.7.1.11,KEGG:00680+2.7.1.11
NODE_35_length_76221_cov_438.509217_58	CDD,TIGRFAM,Pfam,TIGRFAM	cd00947,TIGR01859,PF01116,TIGR00167	IPR000771,IPR011289	TBP_aldolase_IIB,fruc_bis_ald_: fructose-1,6-bisphosphate aldolase, class II,Fructose-bisphosphate aldolase class-II,cbbA: ketose-bisphosphate aldolase	GO:0005975,GO:0008270,GO:0016832,GO:0004332,GO:0006096,GO:0030388	KEGG:00010+4.1.2.13,KEGG:00030+4.1.2.13,KEGG:00051+4.1.2.13,KEGG:00680+4.1.2.13,KEGG:00710+4.1.2.13
NODE_35_length_76221_cov_438.509217_59	Pfam,CDD,TIGRFAM	PF00717,cd06530,TIGR02227	IPR015927,IPR000223	Peptidase S24-like,S26_SPase_I,sigpep_I_bact: signal peptidase I	GO:0006508,GO:0008236,GO:0016020	"NA"
NODE_35_length_76221_cov_438.509217_6	Pfam,CDD,CDD,Pfam	PF00672,cd11386,cd06225,PF00015	IPR003660,IPR004089	HAMP domain,MCP_signal,HAMP,Methyl-accepting chemotaxis protein (MCP) signalling domain	GO:0004871,GO:0007165,GO:0016021,GO:0016020	"NA"
NODE_35_length_76221_cov_438.509217_60	Pfam,Pfam	PF13616,PF13624	"NA"	PPIC-type PPIASE domain,SurA N-terminal domain	"NA"	"NA"
NODE_35_length_76221_cov_438.509217_61	Pfam	PF09989	IPR018709	CoA enzyme activase uncharacterised domain (DUF2229)	"NA"	"NA"
NODE_35_length_76221_cov_438.509217_63	Pfam,TIGRFAM	PF01869,TIGR00241	IPR002731,IPR008275	BadF/BadG/BcrA/BcrD ATPase family,CoA_E_activ: putative CoA-substrate-specific enzyme activase	"NA"	"NA"
NODE_35_length_76221_cov_438.509217_64	Pfam	PF13263	"NA"	PHP-associated	"NA"	"NA"
NODE_35_length_76221_cov_438.509217_7	CDD,TIGRFAM,Pfam,Pfam	cd13134,TIGR00797,PF01554,PF01554	IPR002528	MATE_like_8,matE: MATE efflux family protein,MatE,MatE	GO:0006855,GO:0015238,GO:0015297,GO:0016020,GO:0055085	"NA"
NODE_35_length_76221_cov_438.509217_8	Pfam,CDD,Pfam,TIGRFAM,CDD,TIGRFAM	PF00188,cd00118,PF01476,TIGR02909,cd05379,TIGR02899	IPR014044,IPR018392,IPR014258,IPR014248	Cysteine-rich secretory protein family,LysM,LysM domain,spore_YkwD: uncharacterized protein, YkwD family,SCP_bacterial,spore_safA: spore coat assembly protein SafA	"NA"	"NA"
NODE_35_length_76221_cov_438.509217_9	Pfam	PF06738	IPR010619	Putative threonine/serine exporter	"NA"	"NA"
NODE_350_length_3478_cov_16.878177_1	Pfam	PF08282	IPR023214	haloacid dehalogenase-like hydrolase	"NA"	"NA"
NODE_350_length_3478_cov_16.878177_2	Pfam	PF04734	IPR031329	Neutral/alkaline non-lysosomal ceramidase, N-terminal	"NA"	KEGG:00600+3.5.1.23
NODE_350_length_3478_cov_16.878177_3	Pfam,Pfam,CDD,CDD	PF01380,PF01380,cd05009,cd05008	IPR001347,IPR035490,IPR035466	SIS domain,SIS domain,SIS_GlmS_GlmD_2,SIS_GlmS_GlmD_1	GO:0097367,GO:1901135	KEGG:00250+2.6.1.16,KEGG:00520+2.6.1.16
